EBA132;CONSERVAÇÃO  E RESTAURAÇÃO DA OBRA DE ARTE II               ;102
EBA148;CONSERVACAO E RESTAURACAO DA OBRA  DE ARTE III              ;90
EBA121;CONSERVAÇÃO E RESTAURAÇÃO DA OBRA DE ARTE                   ;102
EBA160;ERGONOMIA                                                   ;102
EBA145;EXPRESSAO TRIDIMENSIONAL VI                                 ;102
EBA146;EXPRESSAO TRIDIMENSIONAL VII                                ;102
EBA153;FOTOGRAFIA I-A                                              ;85
EBA155;FOTOGRAFIA II-A                                             ;102
EBA142;GRAVURA III                                                 ;102
EBA182;INTRODUÇÃO À COMPUTAÇÃO NAS ARTES GRÁFICAS I                ;102
EBA109;PINTURA III                                                 ;102
EBA110;PINTURA IV                                                  ;102
EBA163;PRODUÇÃO E ANALISE DA IMAGEM                                ;102
EBA130;TECN PROCESS ARTISTICOS                                     ;68
HACA01;ESTUDOS SOBRE A CONTEMPORANEIDADE I                         ;68
HACA04;AÇÃO ARTÍSTICA I                                            ;68
HACA05;POLÍTICAS CULTURAIS                                         ;68
LETE43;LÍNGUA PORTUGUESA, PODER E DIVERSIDADE CULTURAL             ;68
HACA34;ESTUDOS SOBRE A CONTEMPORANEIDADE II                        ;68
HACA37;AÇÃO ARTÍSTICA II                                           ;68
LETE45;LEITURA E PRODUÇÃO DE TEXTOS EM LÍNGUA PORTUGUESA           ;68
HACA49;AÇÃO E MEDIAÇÃO CULTURAL ATRAVÉS DAS ARTES                  ;68
HACD64;ACCS - Ciência, Racismo e Alteridade: Construção de Exposiçã;136
HACB76;ACCS:AÇÕES INTERDISC. P/ PROMOÇÃO DA SAÚDE - SSA            ;68
HACB07;ARQUEOLOGIA DAS ARTES E TECNOLOGIAS                         ;68
HACB23;ARTE E CIDADE                                               ;68
HACA48;ARTE E ESTÉTICA                                             ;34
HACA82;ARTE E MATEMATICA                                           ;68
HACB11;ARTES E ELETRÔNICA                                          ;68
HACA07;ARTES E MUNDO DIGITAL                                       ;68
HACB24;ARTES E TRADIÇÕES POPULARES                                 ;68
HACB16;ATELIÊ DO EMPREENDEDOR                                      ;68
HACA40;CAMPO DA SAÚDE: SABERES E PRÁTICAS                          ;68
HACC02;CIDADE E NARRATIVAS GRÁFICAS                                ;68
HACA09;CIÊNCIA E TECNOLOGIA I                                      ;68
HACA38;CIÊNCIA E TECNOLOGIA II                                     ;68
HACA39;CIÊNCIA E TECNOLOGIA III                                    ;68
HACA53;CIÊNCIA E TECNOLOGIA IV                                     ;68
HACB97;CIRCULAÇÃO, COMUNICAÇÃO E CIDADES                           ;68
HACB28;COMPUTAÇÃO APLICADA                                         ;68
HACA89;CONCEPÇÃO DE PRODUTOS TECNOLÓGICOS                          ;68
HACC05;CULTURA E TURISMO                                           ;68
HACC09;CULTURAS BAIANAS                                            ;68
HACE03;CULTURAS, GÊNEROS E SEXUALIDADES                            ;68
HACA88;DESENVOLVIMENTO DE PRODUTO E PRODUÇÃO INDUSTRIAL            ;68
HACA93;DISPOSITIVOS TECNOLÓGICOS PRÁTICOS I                        ;68
HACA94;DISPOSITIVOS TECNOLÓGICOS PRÁTICOS II                       ;68
HACB33;ECONOMIA POLÍTICA INTERNACIONAL I                           ;68
HACB99;ECONOMIA, TRABALHO E CIDADE                                 ;68
HACD40;Elaborção de Proj. e Tec. Digitais para o Ensino das Artes  ;30
HACA02;ELEMENTOS ACADÊMICOS E PROFISSIONAIS EM CIÊNCIA E TECNOLOGIA;68
HACB04;EMPREENDEDORISMO E INOVAÇÃO                                 ;68
HACA76;ESTUDO DOS PODERES                                          ;68
HACA36;ESTUDOS DAS CULTURAS                                        ;68
HACA03;ESTUDOS DAS HUMANIDADES                                     ;68
HACA35;ESTUDOS DAS SOCIEDADES                                      ;68
HACA77;ESTUDOS DAS SUBJETIVIDADES                                  ;68
HACB36;ESTUDOS DO CAPITALISMO                                      ;68
HACA51;ESTUDOS DO DESENVOLVIMENTO                                  ;68
HACB40;ESTUDOS SOBRE A INSTITUIÇÃO UNIVERSITÁRIA                   ;34
HACA99;FUNDAMENTOS DE BIOMATERIAIS E BIOTECNOLOGIA                 ;68
